,place_id,name,business_status,formatted_address,price_level,rating,types
379,ChIJf-1mCc0udTER6F_XewWgGio,Ah! Ngon Deli,OPERATIONAL,"Hẻm, 766/25 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",2.0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
380,ChIJyYklKPsvdTERgVVvKv9gkXY,XÔI GÀ CÔ HỒNG CMT8,OPERATIONAL,"836 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
382,ChIJ09qrvQ0vdTERfVXW_8NlZSI,Quán Phá Lâu Bò 601B,OPERATIONAL,"601 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
389,ChIJJ2aXEykvdTERinA_PqiRVvE,BÚN MỌC HƯƠNG NAM,OPERATIONAL,"713 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
392,ChIJL1Aj404vdTERaWH66tZdZXY,Ốc 15K | ỐC NGON CMT8 | ỐC NGON QUẬN 10,OPERATIONAL,"601/2 Đ. Cách Mạng Tháng 8, Phường 11, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']"
394,ChIJ38DC3AQvdTER-rNdcqV03c4,HỦ TIẾU MỰC PHẠM GIA,OPERATIONAL,"638 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
395,ChIJNcBJN2QvdTERpix9IM5AXvk,PHÒ MÃ - 927/8 CMT8,OPERATIONAL,"927/8 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
400,ChIJ8RkvzCEvdTER_dHGviWTfTM,KFC August Revolution Road,OPERATIONAL,"540 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",2.0,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
401,ChIJwyuP5pcvdTERnZqsb_qfyks,Quán Hàn Quốc Mì Cay Itada,OPERATIONAL,"1026 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
406,ChIJH0wrUBAvdTERqBw3ONwHDGM,Bánh Canh Bà U,OPERATIONAL,"749 Đ. Cách Mạng Tháng 8, Phường 06, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
408,ChIJ_Zm2viIvdTERfZCztfMmYxw,Cơm Phở Chay Nhân Duyên - CN Tân Bình,OPERATIONAL,"668 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
409,ChIJ9SxwMSYvdTERFHtrtvZBLq0,Cửa Hàng Vlxd Tới Phương Thảo,OPERATIONAL,"283 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['point_of_interest', 'store', 'establishment']"
410,ChIJ9zLh4dcudTERIJ4cUWr3EKQ,Đại Lý Sơn Cao Cấp Huy Phúc,OPERATIONAL,"284 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.8,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
415,ChIJIfSwwCQvdTERN8JSnNMyltc,Mat Viet Eyeglasses,OPERATIONAL,"183B Đ. Cách Mạng Tháng 8, Phường 5, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.2,"['store', 'point_of_interest', 'establishment']"
432,ChIJ97UHLTsvdTERfuEsTET56l4,Đài tưởng niệm Bồ tát Thích Quảng Đức,OPERATIONAL,"185 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']"
441,ChIJY_yNEcsudTERSaWOHOpgpAs,Physiotherapists - Rehabilitation HCMC,OPERATIONAL,"Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['physiotherapist', 'health', 'point_of_interest', 'establishment']"
446,ChIJLXEv8CQvdTERaFY_H4O-GhU,Trung Tâm Mắt Kính Sài Gòn,OPERATIONAL,"86 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,2.2,"['health', 'store', 'point_of_interest', 'establishment']"
450,ChIJV2Q-1dMudTERXileGkrw3qo,Yamaha Town Cach Mang Thang 8,OPERATIONAL,"627 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,4.3,"['car_repair', 'store', 'point_of_interest', 'establishment']"
451,ChIJy0YyaCgvdTERaetTgnre20k,VECHAI Beer Garden,OPERATIONAL,"210/22B Đ. Cách Mạng Tháng 8, P.10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",3.0,4.3,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']"
454,ChIJ_5RTc0IvdTER27sO53BAuGQ,The Observatory,OPERATIONAL,"85 Đ. Cách Mạng Tháng 8, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",2.0,4.0,"['bar', 'point_of_interest', 'establishment']"
455,ChIJAQBFVzsvdTERskvaaSgcMpQ,Karaoke Icool,OPERATIONAL,"129A Đ. Cách Mạng Tháng 8, Phường 5, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,4.3,"['night_club', 'bar', 'point_of_interest', 'establishment']"
458,ChIJ3VyT5RcvdTERSQ1TfZSLDm8,Mía Thơm Sáu Râu - Chi Nhánh 2,OPERATIONAL,"306C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['night_club', 'bar', 'point_of_interest', 'establishment']"
480,ChIJY7e1Qs4udTER8wIaHMBB7mk,Nhà Thuốc Song Ngọc,OPERATIONAL,"680 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
481,ChIJDTiBTlAvdTERaKTTNols3jc,Nhà thuốc Pharmacity,OPERATIONAL,"739 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.3,"['drugstore', 'pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
482,ChIJIeLPnswudTERm7ZikdK2Zyw,Pharmacy Central Vietnam,OPERATIONAL,"524 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
483,ChIJFxDMeZ4vdTERU9lkN8_TxgU,Nhà Thuốc FPT Long Châu,OPERATIONAL,"797 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.3,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
484,ChIJix9iNzUpdTERn93hTRFWNSs,Nhà Thuốc Tây OKOTO,OPERATIONAL,"1228 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.4,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
485,ChIJxwQF0lMpdTERIfBzFuWaZdQ,Phúc Châu Pharmacy,OPERATIONAL,"1097 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,2.5,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
486,ChIJ8UiFCU4vdTERPW5LhoKonvo,"Đông Y Gia Truyền - Phạm Thanh Quốc, Trần Thị Lệ Thanh",OPERATIONAL,"623/20 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,4.0,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']"
487,ChIJbeUKydYudTERduZ1k47Ht9E,Nhà Thuốc FPT Long Châu,OPERATIONAL,"424 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,2.8,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']"
488,ChIJL47C7bMvdTERiCtf3767jog,Nhà thuốc thanh mộc hương,OPERATIONAL,"540/21 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']"
489,ChIJy6xL4bkndTERhLxGSCtm-4A,Gastosic - Hỗ trợ điều trị trào ngược dạ dày thực quản - Nhà thuốc Ba Bảy,OPERATIONAL,"394C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['store', 'point_of_interest', 'establishment']"
490,ChIJUdbuvjovdTERQH8Fd9aGzJI,Giáo Xứ Nam Thái SG,OPERATIONAL,"838 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 72119, Vietnam",,4.8,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
491,ChIJRQLNgMwudTERlXSCSp5iHR0,An Ton Church,OPERATIONAL,"947/13/3 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['church', 'place_of_worship', 'point_of_interest', 'establishment']"
493,ChIJHUijemMvdTERwSisFSVv3lo,Hội giáo viên mầm non Sài Gòn,OPERATIONAL,"QMHH+QC9, Đ. Cách Mạng Tháng 8, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['point_of_interest', 'establishment']"
495,ChIJDZbPg9IudTERUdz9kbVY4yY,Institute of Jesus,OPERATIONAL,"686/76 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.4,"['place_of_worship', 'point_of_interest', 'establishment']"
497,ChIJmd_Ow9cudTERUWlx184dZZA,Buu Da Buddhist Temple,OPERATIONAL,"419/11 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",,4.5,"['place_of_worship', 'point_of_interest', 'establishment']"
504,ChIJB7WenTwvdTEROAOh1cDBKXg,Công Ty Tnhh Thiết Bị Gia Dụng Phương Gia (Pg Home),OPERATIONAL,"28 Đ. Cách Mạng Tháng 8, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
505,ChIJu08Uo4svdTERacy8xNHi74w,Đồ Gia Dụng Mekoong,OPERATIONAL,"439 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['store', 'point_of_interest', 'establishment']"
506,ChIJlf-HCQcvdTER4pMIsT9z9ec,Đồ Nhựa Duy Tân Mekoong,OPERATIONAL,"439 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
507,ChIJyXh4McsudTERUPMLvnBl-LM,Hung Dang Photo,OPERATIONAL,"686 Đ. Cách Mạng Tháng 8, Phường 7, Quận 11, Thành phố Hồ Chí Minh, Vietnam",,3.0,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
508,ChIJZekzfaUvdTER13XahM7YkZc,Cửa hàng Nệm Sài Gòn,OPERATIONAL,"529 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
510,ChIJwRTMr9cudTERzsh3Mbj_dK8,Cửa Hàng Chăn Drap Gối Nệm Hometex,OPERATIONAL,"469 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
512,ChIJuz2xMdUvdTERacWm4QeGB1U,"Duco Deco,r",OPERATIONAL,"623/8C Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",,0.0,"['furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']"
513,ChIJVYYCnAgvdTER3Lwm0zbKHLM,RÈM MÀN HAPPY HOUSE,OPERATIONAL,"540/2 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 72411, Vietnam",,5.0,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
514,ChIJd-PuEyMvdTERBv4-6TtsOw4,Phụ kiện trang trí sinh nhật Glow Party Store Quận 10,OPERATIONAL,"387/1 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,4.8,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
515,ChIJFxeFhtEudTER03x0mZNPzC4,Led,OPERATIONAL,"629/8 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
516,ChIJwx0RrHIvdTERchMP7jRLYW4,Vua Nệm,OPERATIONAL,"28 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh 72400, Vietnam",,4.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
517,ChIJPcBbis0udTERU_udpVyg_W8,Cửa Hàng Nệm,OPERATIONAL,"668 Đ. Cách Mạng Tháng 8, Phường 11, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
518,ChIJradtKdIudTER-FUAgo1KU1A,Cửa Hàng Bánh Mì Hằng,OPERATIONAL,"544 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,2.5,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']"
519,ChIJS7BofTwvdTERj3HBNDllBus,Bánh Mì Thổ Nhĩ Kỳ Minh Tuấn,OPERATIONAL,"89 Đ. Cách Mạng Tháng 8, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
520,ChIJhTs0tCQvdTERRaAMHyrd8gM,TOUS les JOURS - Cách Mạng Tháng 8,OPERATIONAL,"66B Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",2.0,4.3,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']"
521,ChIJZ5CTm8wudTER14GH2EA4u8k,ABC Bakery,OPERATIONAL,"1029 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",2.0,4.2,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
522,ChIJozsC47cvdTERYeFZo_U0Q94,"Bánh mì ÔNG HƯNG 5 - Q10, CMT8",OPERATIONAL,"277B Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",,3.1,"['food', 'point_of_interest', 'establishment']"
523,ChIJmX0e41MvdTERZzgDh6o2IcI,Massage Trị Liệu Đông Y Dưỡng Sinh - Queen Spa 20,OPERATIONAL,"1108 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.8,"['spa', 'point_of_interest', 'establishment']"
524,ChIJG1s1_pUvdTERdD0C1xOKt3k,Spa HỒNG GẤM CMT8,OPERATIONAL,"400/14 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['spa', 'point_of_interest', 'establishment']"
525,ChIJfeLXZOAvdTERPiLGBCV0K_4,Shi Spa,OPERATIONAL,"419/35 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['beauty_salon', 'point_of_interest', 'establishment']"
527,ChIJOxapcW0vdTERY8B0lyo1D4M,Hana Spa,OPERATIONAL,"766/14 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.7,"['spa', 'point_of_interest', 'establishment']"
529,ChIJR4Q8XDcvdTERDztjkm_H6_s,TRIỆT LÔNG VĨNH VIỄN QUẬN 3 - ORGANIC SPA,OPERATIONAL,"276 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.9,"['spa', 'point_of_interest', 'establishment']"
531,ChIJd3ggV_EvdTER1h70ThZ1MDQ,Chuyên Gia Xoá Sửa Lông Mày | Phun Xăm Chân Mày Phong Thuỷ | Giá Tốt Bảo Hành Lâu Dài,OPERATIONAL,"472 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 100000, Vietnam",,5.0,"['spa', 'point_of_interest', 'establishment']"
532,ChIJYzTa-tYudTERrP-meHkP1Q8,Trị mụn uy tín 99K Quận 3,OPERATIONAL,"372/5 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['beauty_salon', 'spa', 'store', 'point_of_interest', 'establishment']"
534,ChIJ4fnn_vQvdTERQWJuSOJM4aE,Galaxy Sauna,OPERATIONAL,"457/69 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,4.3,"['spa', 'point_of_interest', 'establishment']"
535,ChIJ__97FjwvdTERq1VRC4Xs15A,Massage Bach Kim,OPERATIONAL,"12D Đ. Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['spa', 'point_of_interest', 'establishment']"
536,ChIJy3kKVOQvdTERPJan9q45zfQ,Gội đầu dưỡng sinh Nhà Linn | GỘI ĐẦU DƯỠNG SINH QUẬN 10,OPERATIONAL,"493/60 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['spa', 'point_of_interest', 'establishment']"
537,ChIJKzX_9HQvdTER4cvr_wDfT-g,Lisa Nail & Spa - Tiệm Nail Quận 3 - Gội Đầu Dưỡng Sinh,OPERATIONAL,"198 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.9,"['beauty_salon', 'spa', 'point_of_interest', 'establishment']"
538,ChIJYZGVY2YvdTERrPrXmkyHlmc,LEE BEAUTY SALON | HỚT TÓC RÁY TAI NAM-NỮ GỘI ĐẦU DƯỠNG SINH,OPERATIONAL,"164 Đ. Cách Mạng Tháng 8, P 10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.9,"['spa', 'point_of_interest', 'establishment']"
539,ChIJdYsjAVQvdTERKjpKCnkE15s,Linn Hair Spa,OPERATIONAL,"493 43 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.6,"['spa', 'point_of_interest', 'establishment']"
540,ChIJfc2zlRcvdTER1Om9_ebV6kE,Massage FYou,OPERATIONAL,"81 Đ. Cách Mạng Tháng 8, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",,3.9,"['spa', 'point_of_interest', 'establishment']"
541,ChIJ3RLwjlQvdTERQ8EA9uWnuGE,LaviE Beauty,OPERATIONAL,"Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['beauty_salon', 'spa', 'point_of_interest', 'establishment']"
542,ChIJvWoFir0vdTERLTdzHHY0N8w,ZENmed - Dưỡng Sinh Viện,OPERATIONAL,"33 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['spa', 'health', 'point_of_interest', 'establishment']"
548,ChIJAYCAECgvdTERFJC91NNHGzE,Quyên beauty- spa- 266/4 cách mạng tháng 8 p.10 Q.3,OPERATIONAL,"266/4 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['beauty_salon', 'health', 'point_of_interest', 'establishment']"
549,ChIJfTWDjO0vdTERajmyyPmgm9c,NEM HOUSE,OPERATIONAL,"493A/72, Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['beauty_salon', 'spa', 'point_of_interest', 'establishment']"
552,ChIJw8npR4svdTERw_GRRMm1f0c,Spa Queen,OPERATIONAL,"246 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['hair_care', 'beauty_salon', 'spa', 'health', 'point_of_interest', 'store', 'establishment']"
554,ChIJWesETiQvdTERlrgVJ-P-W4k,Nam A Bank - Head Office,OPERATIONAL,"201-203 Đ. Cách Mạng Tháng 8, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.6,"['bank', 'finance', 'point_of_interest', 'establishment']"
555,ChIJX9WbTDsvdTERenHpFu61WnE,VietBank Hồ Chí Minh - Trụ sở chính,OPERATIONAL,"62A Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,3.8,"['bank', 'finance', 'point_of_interest', 'establishment']"
556,ChIJYSC0rCUvdTERUpYqv3Ip6OE,KienlongBank Sài Gòn,OPERATIONAL,"98-108A Đ. Cách Mạng Tháng 8, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 722469, Vietnam",,3.5,"['bank', 'finance', 'point_of_interest', 'establishment']"
557,ChIJJ9IX0ycvdTERE0-Fy5WpIC0,Vietcombank,OPERATIONAL,"283C Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,2.2,"['bank', 'finance', 'point_of_interest', 'establishment']"
558,ChIJgYPKnj4vdTERqL-3hF53kiI,VPBANK HÒA HƯNG,OPERATIONAL,"Số 611 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,2.9,"['bank', 'finance', 'point_of_interest', 'establishment']"
559,ChIJHWfxUeIvdTERcBIeXfY7-rc,ACB - PGD Lê Ngô Cát,OPERATIONAL,"197A Đ. Cách Mạng Tháng 8, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.6,"['bank', 'finance', 'point_of_interest', 'establishment']"
560,ChIJ4yXnPzwvdTER3GN3okopqig,Ngân Hàng TMCP Kỹ Thương Việt Nam (Techcombank) – Techcombank Cách mạng tháng 8,OPERATIONAL,"285 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,3.0,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']"
561,ChIJtVbC6CQvdTERaJySqIELLNA,Vietcombank,OPERATIONAL,"76 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.3,"['bank', 'finance', 'point_of_interest', 'establishment']"
562,ChIJH-sQRtEudTER5INsLgwxp44,ACB Building,OPERATIONAL,"444 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.1,"['bank', 'finance', 'point_of_interest', 'establishment']"
563,ChIJHSNeBBYvdTERiaLbD5cWY28,Western Union Đống Đa,OPERATIONAL,"16 Đ. Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",,4.8,"['bank', 'finance', 'point_of_interest', 'establishment']"
564,ChIJnRShI9IudTER19ihYHqHYYE,International Bank - ATM VIB,OPERATIONAL,"Công ty Cao Phong, 590 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,1.0,"['atm', 'finance', 'point_of_interest', 'establishment']"
565,ChIJR82drQcvdTER9TSthCige2U,ATM - KienlongBank Sài Gòn,OPERATIONAL,"98-108A Đ. Cách Mạng Tháng 8, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 722469, Vietnam",,0.0,"['atm', 'finance', 'point_of_interest', 'establishment']"
566,ChIJHy4AGSgvdTERwWqa5MbjD5c,VPBANK KỲ HÒA,OPERATIONAL,"276C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.4,"['bank', 'finance', 'point_of_interest', 'establishment']"
567,ChIJ0cacDCgvdTERVQzwyGdo5rA,ATM Sacombank - PGD CMT8,OPERATIONAL,"236-238 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['atm', 'finance', 'point_of_interest', 'establishment']"
568,ChIJiRDS_LYvdTER46p5cY7sABQ,TPBank LiveBank 204 Cách mạng tháng Tám Quận 3,OPERATIONAL,"204 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.7,"['atm', 'bank', 'finance', 'point_of_interest', 'establishment']"
569,ChIJdVbQcigvdTER1VlHckNn3W0,Sacombank ATM,OPERATIONAL,"232 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.0,"['atm', 'finance', 'point_of_interest', 'establishment']"
571,ChIJJyfdSNEudTER1hp10LkGJYM,ATM ACB,OPERATIONAL,"444a Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.5,"['atm', 'finance', 'point_of_interest', 'establishment']"
